latitude,longitude,altitude,geometry,@id,landuse,name,type,@geometry,imagery_used,created_by,highway,name:fr,wikidata,wikipedia,amenity,religion,operator,resource,substance,name:kn,material,abandoned:landuse,disused,barrier,source,note,loc_name:hi,man_made,addr:housenumber,alt_name,operator:type,natural,hazard,disused:landuse,abandoned:man_made,boundary,contamination,description,informal,old_name
13.6861723,79.3573783,,Point,way/362920024,landfill,Dumping Ground,,center,,,,,,,,,,,,ಕಸದ ಗುಡ್ಡೆ,,,,,,,,,,,,,,,,,,,,
23.4112897,85.2557997,,Point,way/364607640,landfill,Municipal Landfill,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.6412317,69.5847366,,Point,way/373416266,landfill,Coal Dump,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.9459397,77.6595119,,Point,way/373812697,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5049455,79.5073326,,Point,way/374394923,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5297975,79.4724537,,Point,way/374394924,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5040779,79.5081492,,Point,way/374394926,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5031774,79.4803385,,Point,way/374394927,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5320523,79.518501,,Point,way/374394928,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5304305,79.4752475,,Point,way/374394930,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5023025,79.4786424,,Point,way/374394931,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6259601,79.516521,,Point,way/374395881,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6255152,79.5158801,,Point,way/374395882,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6311312,79.5194287,,Point,way/374395883,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6244721,79.5228053,,Point,way/374395884,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6751164,79.498709,,Point,way/374395885,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.629938,79.5207399,,Point,way/374395890,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6268291,79.517175,,Point,way/374395891,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6002536,79.5868707,,Point,way/374396249,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5663848,79.5872984,,Point,way/374396251,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5691304,79.5810584,,Point,way/374396254,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5985379,79.5829223,,Point,way/374396261,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.57449,79.5608323,,Point,way/374396262,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6695386,79.4985841,,Point,way/374396950,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6705965,79.4985109,,Point,way/374396951,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
